handle,vendor,type,status,live_media,local_assoc,local_files
sofa-terraza-3-plazas-estilo-sofisticado-212100-cm,Hevea,Sofá,ACTIVE,1,1,images_cutout/sofa-terraza-3-plazas-estilo-sofisticado-212100-cm.png
set-jardin-2-plazas-elegante-sofa-2-plazas-2-sillones-mesa-4,Hevea,Conjunto sofá,ACTIVE,1,2,images_optimized/1739535555_ALBANIA_09.jpg | images_cutout/set-jardin-2-plazas-elegante-sofa-2-plazas-2-sillones-mesa-4.png
set-jardin-3-plazas-sofisticado-sofa-3-plazas-2-sillones-mesa-4,Hevea,Conjunto sofá,ACTIVE,1,1,images_cutout/set-jardin-3-plazas-sofisticado-sofa-3-plazas-2-sillones-mesa-4.png
reposapies-exterior-855043-cm,Hevea,Reposapiés,ACTIVE,1,0,
sillon-exterior-estilo-elegante-80104-cm,Hevea,Sillón,ACTIVE,1,0,
sofa-terraza-2-plazas-estilo-contemporaneo-164104-cm,Hevea,Sofá,ACTIVE,1,0,
sofa-terraza-3-plazas-estilo-contemporaneo-215104-cm,Hevea,Sofá,ACTIVE,1,1,images_optimized/bolonia-xl-2.jpg
mesa-de-centro-exterior-125-cm-altura-42-cm,Hevea,Mesa centro,ACTIVE,2,1,images_optimized/mesa-bolonia-centro.jpg
reposapies-exterior-855043-cm-2,Hevea,Reposapiés,ACTIVE,2,0,
set-jardin-2-plazas-elegante-sofa-2-plazas-2-sillones-mesa-5,Hevea,Conjunto sofá,ACTIVE,2,1,images_optimized/bolonia-xl-2.jpg
set-jardin-3-plazas-contemporaneo-sofa-3-plazas-2-sillones-mesa-2,Hevea,Conjunto sofá,ACTIVE,2,1,images_optimized/bolonia-xl-1.jpg
sillon-exterior-bicolor-estilo-bicolor-7376-cm,Hevea,Sillón,ACTIVE,1,0,
sofa-terraza-bicolor-2-plazas-estilo-bicolor-14076-cm,Hevea,Sofá,ACTIVE,1,0,
sofa-terraza-bicolor-3-plazas-estilo-bicolor-20076-cm,Hevea,Sofá,ACTIVE,1,0,
mesa-de-centro-exterior-hpl-120-cm-altura-40-cm,Hevea,Mesa centro,ACTIVE,2,1,images_optimized/mesa-de-centro-diva-120.jpg
mesa-de-centro-exterior-hpl-135-cm-altura-40-cm,Hevea,Mesa centro,ACTIVE,1,0,
reposapies-exterior-bicolor-704544-cm,Hevea,Reposapiés,ACTIVE,1,0,
set-jardin-bicolor-2-plazas-bicolor-sofa-2-plazas-2-sillones-mesa,Hevea,Conjunto sofá,ACTIVE,1,1,images_optimized/1739540503_DIVA-7.jpg
set-jardin-bicolor-3-plazas-bicolor-sofa-3-plazas-2-sillones-mesa,Hevea,Conjunto sofá,ACTIVE,1,1,images_optimized/1739540503_DIVA_N24.jpg
sillon-exterior-estilo-versatil-7685-cm,Hevea,Sillón,ACTIVE,1,0,
sofa-terraza-2-plazas-estilo-contemporaneo-13785-cm,Hevea,Sofá,ACTIVE,1,0,
sofa-terraza-3-plazas-estilo-contemporaneo-19685-cm,Hevea,Sofá,ACTIVE,1,0,
set-jardin-2-plazas-contemporaneo-sofa-2-plazas-2-sillones-mesa,Hevea,Conjunto sofá,ACTIVE,2,1,images_optimized/1739541782_leisa-7.jpg
set-jardin-3-plazas-contemporaneo-sofa-3-plazas-2-sillones-mesa-3,Hevea,Conjunto sofá,ACTIVE,1,1,images_optimized/1739541782_LEISA_8.jpg
sillon-exterior-estilo-moderno-7085-cm,Hevea,Sillón,ACTIVE,1,0,
sofa-terraza-2-plazas-estilo-elegante-15085-cm,Hevea,Sofá,ACTIVE,1,0,
sofa-terraza-3-plazas-estilo-contemporaneo-19085-cm,Hevea,Sofá,ACTIVE,1,0,
set-jardin-2-plazas-contemporaneo-sofa-2-plazas-2-sillones-mesa-2,Hevea,Conjunto sofá,ACTIVE,1,1,images_optimized/1739543239_dounvil-7.jpg
set-jardin-3-plazas-elegante-sofa-3-plazas-2-sillones-mesa-2,Hevea,Conjunto sofá,ACTIVE,1,1,images_optimized/1739543239_dounvil-8.jpg
mesa-de-centro-exterior-90-cm-altura-40-cm-2,Hevea,Mesa centro,ACTIVE,1,0,
mesa-de-centro-exterior-120-cm-altura-40-cm-2,Hevea,Mesa centro,ACTIVE,1,0,
sillon-exterior-estilo-contemporaneo-68115-cm,Hevea,Sillón,ACTIVE,1,0,
sofa-terraza-2-plazas-estilo-moderno-128115-cm,Hevea,Sofá,ACTIVE,1,0,
sofa-terraza-3-plazas-estilo-contemporaneo-188115-cm,Hevea,Sofá,ACTIVE,1,0,
set-jardin-2-plazas-moderno-sofa-2-plazas-2-sillones-mesa-3,Hevea,Conjunto sofá,ACTIVE,2,1,images_optimized/1739543115_haston-7.jpg
set-jardin-3-plazas-contemporaneo-sofa-3-plazas-2-sillones-mesa-4,Hevea,Conjunto sofá,ACTIVE,2,1,images_optimized/1739543115_haston-8.jpg
sillon-exterior-estilo-versatil-6470-cm,Hevea,Sillón,ACTIVE,1,0,
