Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status,Cost per item
etna-tumbona,,,,,,,,Configuracion,Tela Balliu con ruedas,BALLIU_ETNA_TUMBONA_TELA_BALLIU_CON__AFBA154C,0,shopify,0,deny,manual,252.74,,TRUE,TRUE,,,,FALSE,,,active,
etna-alta-tumbona-alta,Tumbona de exterior aluminio,"<p>Diseñada con una altura optimizada para facilitar el acceso, la Etna Alta es ideal para quienes buscan comodidad y funcionalidad. Con una estructura de aluminio endurecido y tornillería en acero inoxidable, garantiza una durabilidad excepcional.</p>
<p>Su respaldo regulable en cinco posiciones y tejido sustituible ofrecen versatilidad y comodidad. Disponible con ruedas opcionales, cuenta con un sistema anti-atrapamiento de dedos con refuerzo doble para mayor seguridad.</p>
<ul>
  <li>Aluminio texturizado</li>
  <li>Tejido Balliu</li>
</ul>",Balliu,,Tumbona,"balliu, exterior, tumbona, etna",TRUE,Configuracion,Tela Balliu,BALLIU_ETNA_ALTA_TUMBONA_AL_TELA_BALLIU_D08586C1,0,shopify,0,deny,manual,248.76,,TRUE,TRUE,,,,FALSE,Tumbona de exterior aluminio,"Diseñada con una altura optimizada para facilitar el acceso, la Etna Alta es ideal para quienes buscan comodidad y funcionalidad. Con una estructura de aluminio endurecido y tornillería en acero inoxidable, garantiza una durabilidad excepcional. Su respaldo regulable en cinco posiciones y tejido sustituible ofrecen ver",active,
etna-alta-tumbona-alta,,,,,,,,Configuracion,Tela Balliu con ruedas,BALLIU_ETNA_ALTA_TUMBONA_AL_TELA_BALLIU_CON__9E0F219D,0,shopify,0,deny,manual,266.56,,TRUE,TRUE,,,,FALSE,,,active,
iris-tumbona,Tumbona de exterior aluminio | 58 cm,"<p>La Iris es una tumbona que combina resistencia y diseño elegante. Su estructura de aluminio endurecido, junto con tornillería de acero inoxidable y perﬁl con nervios interiores, asegura una alta durabilidad y resistencia.</p>
<p>El respaldo regulable en cinco posiciones cuenta con un sistema reforzado para evitar el atrapamiento de dedos. Cuenta con ruedas integradas y tejido sustituible mediante guías. Con un diseño ﬁno y minimalista se convierte en la opción perfecta para quienes buscan una tumbona funcional y elegante.</p>
<ul>
  <li>Aluminio texturizado</li>
  <li>Tejido Balliu</li>
</ul>
<p><strong>Dimensiones:</strong> Largo: 203 cm | Ancho: 58 cm | Alto: 96 cm | Peso: N/D kg</p>",Balliu,,Tumbona,"balliu, exterior, tumbona, iris",TRUE,Configuracion,Con Ruedas,BALLIU_IRIS_TUMBONA_CON_RUEDAS_9064B7B9,0,shopify,0,deny,manual,337.77,,TRUE,TRUE,https://www.balliuexport.com/wp-content/uploads/2024/01/iris-blanco-blanco-07-00-800x614-1.jpg,1,Tumbona de exterior aluminio | 58 cm,FALSE,Tumbona de exterior aluminio | 58 cm,"La Iris es una tumbona que combina resistencia y diseño elegante. Su estructura de aluminio endurecido, junto con tornillería de acero inoxidable y perﬁl con nervios interiores, asegura una alta durabilidad y resistencia. El respaldo regulable en cinco posiciones cuenta con un sistema reforzado para evitar el atrapamie",active,
marina-tumbona,Tumbona de exterior aluminio | 68 cm,"<p>La tumbona Marina se caracteriza por su diseño lineal y elegante, ideal para quienes buscan un mobiliario funcional con un diseño limpio y atemporal.</p>
<p>Su estructura de aluminio endurecido y tornillería en acero inoxidable aseguran una gran resistencia y durabilidad, mientras que su ligereza facilita su movimiento. El respaldo es regulable en cinco posiciones y cuenta con tejido sustituible por cordón.</p>
<ul>
  <li>Tejido Balliu</li>
  <li>Aluminio texturizado</li>
</ul>
<p><strong>Dimensiones:</strong> Largo: 205 cm | Ancho: 68 cm | Alto: 36 cm | Peso: 9.4 kg</p>",Balliu,,Tumbona,"balliu, exterior, tumbona, marina",TRUE,Configuracion,Tela Balliu,BALLIU_MARINA_TUMBONA_TELA_BALLIU_F7AB4DA8,0,shopify,0,deny,manual,173.92,,TRUE,TRUE,https://www.balliuexport.com/wp-content/uploads/2026/02/Balliu_Marina_blanco-ceniza_sin-fondo2.jpg,1,Tumbona de exterior aluminio | 68 cm,FALSE,Tumbona de exterior aluminio | 68 cm,"La tumbona Marina se caracteriza por su diseño lineal y elegante, ideal para quienes buscan un mobiliario funcional con un diseño limpio y atemporal. Su estructura de aluminio endurecido y tornillería en acero inoxidable aseguran una gran resistencia y durabilidad, mientras que su ligereza facilita su movimiento. El re",active,
alba-tumbona,Tumbona de exterior,<p>Alba Tumbona</p>,Balliu,,Tumbona,"balliu, exterior, tumbona, alba",TRUE,Configuracion,Tela Balliu,BALLIU_ALBA_TUMBONA_TELA_BALLIU_20620134,0,shopify,0,deny,manual,226.62,,TRUE,TRUE,,,,FALSE,Tumbona de exterior,Alba Tumbona,active,
cannes-mini-tumbona,Mini tumbona de exterior aluminio | 62 cm,"<p>La tumbona Cannes es la opción perfecta para quienes buscan un diseño práctico y moderno. Cuenta con una estructura de aluminio endurecido y tornillería en acero inoxidable para asegurar su durabilidad.</p>
<p>Con respaldo regulable en cuatro posiciones, el tejido es sustituible asegurando su versatilidad. Su diseño plegable facilita su almacenamiento y transporte. Además, ofrece un cojín cosido que añade un extra de confort.</p>
<ul>
  <li>Tejido Balliu</li>
  <li>Aluminio texturizado</li>
</ul>
<p><strong>Dimensiones:</strong> Largo: 103 cm | Ancho: 62 cm | Alto: 105 cm | Peso: 4,8 kg</p>",Balliu,,Mini tumbona,"balliu, exterior, mini tumbona, cannes",TRUE,Configuracion,Mini Tumbona Cannes (Con cojin),BALLIU_CANNES_MINI_TUMBONA_MINI_TUMBONA_CAN_5A6F53EB,0,shopify,0,deny,manual,140.89,,TRUE,TRUE,https://www.balliuexport.com/wp-content/uploads/2023/12/mini-tumbona-cannes-blanco-3800-001.jpg,1,Mini tumbona de exterior aluminio | 62 cm,FALSE,Mini tumbona de exterior aluminio | 62 cm,"La tumbona Cannes es la opción perfecta para quienes buscan un diseño práctico y moderno. Cuenta con una estructura de aluminio endurecido y tornillería en acero inoxidable para asegurar su durabilidad. Con respaldo regulable en cuatro posiciones, el tejido es sustituible asegurando su versatilidad. Su diseño plegable",active,
bristol-mini-tumbona,Mini tumbona de exterior madera | 59 cm,"<p>La tumbona Bristol es la opción perfecta para quienes buscan un diseño simple y funcional. Fabricada en madera Merpauh de gran durabilidad y con tornillería en acero inoxidable, esta tumbona es ideal para disfrutar en cualquier lugar gracias a su diseño plegable.</p>
<p>Con cojín incluido, respaldo regulable en cuatro posiciones y tejido sustituible, ofrece una gran versatilidad. Bristol cuenta con un diseño clásico y atemporal.</p>
<ul>
  <li>Madera</li>
  <li>Tejido Balliu</li>
</ul>
<p><strong>Dimensiones:</strong> Largo: 103 cm | Ancho: 59 cm | Alto: 105 cm | Peso: 6,1 kg</p>",Balliu,,Mini tumbona,"balliu, exterior, mini tumbona, bristol",TRUE,Configuracion,Mini Tumbona Bristol (Con cojín),BALLIU_BRISTOL_MINI_TUMBONA_MINI_TUMBONA_BRI_FA211C70,0,shopify,0,deny,manual,139.67,,TRUE,TRUE,https://www.balliuexport.com/wp-content/uploads/2020/01/bristol-mini-tumbona-madera-0300-800x614-3.jpg,1,Mini tumbona de exterior madera | 59 cm,FALSE,Mini tumbona de exterior madera | 59 cm,"La tumbona Bristol es la opción perfecta para quienes buscan un diseño simple y funcional. Fabricada en madera Merpauh de gran durabilidad y con tornillería en acero inoxidable, esta tumbona es ideal para disfrutar en cualquier lugar gracias a su diseño plegable. Con cojín incluido, respaldo regulable en cuatro posicio",active,
marina-mini-tumbona,Mini tumbona de exterior aluminio | 57 cm,"<p>La tumbona Marina ofrece un diseño sencillo con una estructura más perpendicular. Su estructura de aluminio endurecido y tornillería en acero inoxidable aseguran durabilidad y resistencia.</p>
<p>Con reposabrazos ﬁjos para mayor confort y tejido sustituible que facilita su mantenimiento, la Marina cuenta con patas anchas que aportan mayor estabilidad y soporte.</p>
<ul>
  <li>Tejido Balliu</li>
  <li>Aluminio texturizado</li>
</ul>
<p><strong>Dimensiones:</strong> Largo: 77 cm | Ancho: 57 cm | Alto: 94 cm | Peso: 4,8 kg</p>",Balliu,,Mini tumbona,"balliu, exterior, mini tumbona, marina",TRUE,Configuracion,Mini Tumbona Marina Fija,BALLIU_MARINA_MINI_TUMBONA_MINI_TUMBONA_MAR_98AB84CE,0,shopify,0,deny,manual,114.60,,TRUE,TRUE,https://www.balliuexport.com/wp-content/uploads/2023/12/marina-s-800x614-2.jpg,1,Mini tumbona de exterior aluminio | 57 cm,FALSE,Mini tumbona de exterior aluminio | 57 cm,"La tumbona Marina ofrece un diseño sencillo con una estructura más perpendicular. Su estructura de aluminio endurecido y tornillería en acero inoxidable aseguran durabilidad y resistencia. Con reposabrazos ﬁjos para mayor confort y tejido sustituible que facilita su mantenimiento, la Marina cuenta con patas anchas que",active,
aura-cama-balinesa,Cama balinesa exterior aluminio · estilo sofisticado | 160 cm,"<p>La cama balinesa Aura destaca por su diseño limpio y geométrico, con una estructura cuadrada de aluminio y líneas rectas que aportan un estilo moderno y soﬁsticado.</p>
<p>Cuenta con un respaldo ajustable en cinco posiciones, permitiendo una experiencia de descanso personalizada. Con un colchón de espuma cubierto de tejido náutico, su diseño sin cubierta es una opción ligera perfecta para espacios donde la simplicidad y el confort sean prioridad.</p>
<ul>
  <li>Aluminio mate</li>
  <li>Tejido náutico</li>
</ul>
<p><strong>Dimensiones:</strong> Largo: 190 cm | Ancho: 160 cm | Alto: 32 cm | Peso: 45 kg</p>",Balliu,,Cama balinesa,"balliu, exterior, cama balinesa, aura",TRUE,Configuracion,Tela Nautica,BALLIU_AURA_CAMA_BALINESA_TELA_NAUTICA_2BD3A7A4,0,shopify,0,deny,manual,1073.61,,TRUE,TRUE,https://www.balliuexport.com/wp-content/uploads/2023/12/aura-cama-balinesa-blanco-800x614-2.jpg,1,Cama balinesa exterior aluminio · estilo sofisticado | 160 cm,FALSE,Cama balinesa exterior aluminio · estilo sofisticado | 160 cm,"La cama balinesa Aura destaca por su diseño limpio y geométrico, con una estructura cuadrada de aluminio y líneas rectas que aportan un estilo moderno y soﬁsticado. Cuenta con un respaldo ajustable en cinco posiciones, permitiendo una experiencia de descanso personalizada. Con un colchón de espuma cubierto de tejido ná",active,
