handle,proveedor,n_variantes,precio_min,precio_max,precio_psicologico_G(objetivo),coste_min,margen%_a_precio_min,status
set-jardin-2-plazas-contemporaneo-sofa-2-plazas-2-sillones-mesa-2,Hevea,1,2405.0,2405.0,2405.0,1251.0,37.1,OK
set-jardin-3-plazas-elegante-sofa-3-plazas-2-sillones-mesa-2,Hevea,1,2779.0,2779.0,2779.0,1446.0,37.0,OK
mesa-de-centro-exterior-90-cm-altura-40-cm-2,Hevea,1,332.95,332.95,332.95,174.0,36.8,OK
mesa-de-centro-exterior-120-cm-altura-40-cm-2,Hevea,1,441.95,441.95,"441.95, 449.9",230.0,37.0,OK
sillon-exterior-estilo-contemporaneo-68115-cm,Hevea,1,559.0,559.0,559.0,290.0,37.2,OK
sofa-terraza-2-plazas-estilo-moderno-128115-cm,Hevea,1,909.0,909.0,909.0,473.0,37.0,OK
sofa-terraza-3-plazas-estilo-contemporaneo-188115-cm,Hevea,1,1199.0,1199.0,1199.0,624.0,37.0,OK
set-jardin-2-plazas-moderno-sofa-2-plazas-2-sillones-mesa-3,Hevea,1,2355.0,2355.0,2355.0,1226.0,37.0,OK
set-jardin-3-plazas-contemporaneo-sofa-3-plazas-2-sillones-mesa-4,Hevea,1,2755.0,2755.0,2755.0,1434.0,37.0,OK
sillon-exterior-estilo-versatil-6470-cm,Hevea,1,589.0,589.0,589.0,306.0,37.1,OK
sofa-terraza-2-plazas-estilo-elegante-13170-cm,Hevea,1,845.0,845.0,845.0,438.0,37.3,OK
sofa-terraza-3-plazas-estilo-moderno-18570-cm,Hevea,1,1150.0,1150.0,1150.0,599.0,37.0,OK
mesa-de-centro-exterior-hpl-90-cm-altura-40-cm,Hevea,1,332.95,332.95,332.95,174.0,36.8,OK
mesa-de-centro-exterior-hpl-120-cm-altura-40-cm-2,Hevea,1,441.95,441.95,441.95,230.0,37.0,OK
set-jardin-2-plazas-moderno-sofa-2-plazas-2-sillones-mesa-4,Hevea,1,2349.0,2349.0,2349.0,1223.0,37.0,OK
set-jardin-3-plazas-contemporaneo-sofa-3-plazas-2-sillones-mesa-5,Hevea,1,2765.0,2765.0,2765.0,1440.0,37.0,OK
pergola-aluminio-para-jardin-300300250-cm,Hevea,1,2045.0,2045.0,2045.0,1065.0,37.0,OK
sillon-exterior-estilo-urbano-6670-cm,Hevea,1,449.9,449.9,449.9,243.0,34.6,OK
sofa-terraza-2-plazas-estilo-contemporaneo-13370-cm,Hevea,1,715.0,715.0,715.0,372.0,37.0,OK
sofa-terraza-3-plazas-estilo-moderno-18770-cm,Hevea,1,1029.0,1029.0,1029.0,536.0,37.0,OK
set-jardin-2-plazas-contemporaneo-sofa-2-plazas-2-sillones-mesa-3,Hevea,1,1995.0,1995.0,1995.0,1037.0,37.1,OK
set-jardin-3-plazas-urbano-sofa-3-plazas-2-sillones-mesa,Hevea,1,2405.0,2405.0,2405.0,1251.0,37.1,OK
set-rinconera-exterior-hpl-sofisticado-sofa-de-esquina-mesa-de-centro,Hevea,1,2899.0,2899.0,2899.0,1509.0,37.0,OK
set-rinconera-exterior-hpl-elegante-sofa-de-esquina-mesa-de-centro,Hevea,1,3795.0,3795.0,3795.0,1976.0,37.0,OK
set-rinconera-exterior-hpl-moderno-sofa-de-esquina-mesa-de-centro,Hevea,1,4225.0,4225.0,4225.0,2199.0,37.0,OK
set-rinconera-exterior-contemporaneo-sofa-de-esquina-mesa-de-centro,Hevea,1,2579.0,2579.0,2579.0,1342.0,37.0,OK
set-rinconera-exterior-sofisticado-sofa-de-esquina-mesa-de-centro,Hevea,1,3819.0,3819.0,3819.0,1988.0,37.0,OK
mesa-comedor-exterior-hpl-13590-cm,Hevea,2,720.0,720.0,"660.0, 720.0",344.0,42.2,OK
silla-exterior-estilo-estilizado,Hevea,1,199.95,199.95,199.95,104.0,37.1,OK
silla-exterior-estilo-contemporaneo,Hevea,1,175.95,175.95,175.95,92.0,36.7,OK
mesa-comedor-exterior-hpl-10090-cm,Hevea,1,585.0,585.0,585.0,303.0,37.3,OK
mesa-comedor-exterior-hpl-15090-cm,Hevea,1,669.0,669.0,669.0,347.0,37.2,OK
