handle,sku,fuente,price_antes,price_despues,compare_antes,compare_despues,status,error
set-jardin-3-plazas-elegante-sofa-3-plazas-2-sillones-mesa-2,557-010107,excel_col_G,2779.00,2779.00,3100.00,3100.00,SIN_CAMBIOS,
mesa-de-centro-exterior-90-cm-altura-40-cm-2,557-1070,excel_col_G,332.95,332.95,349.95,349.95,SIN_CAMBIOS,
mesa-de-centro-exterior-120-cm-altura-40-cm-2,557-1563,psy(shopify),441.95,441.95,485.95,486.95,OK,
sillon-exterior-estilo-contemporaneo-68115-cm,557-0794,excel_col_G,559.00,559.00,600.00,600.00,SIN_CAMBIOS,
sofa-terraza-2-plazas-estilo-moderno-128115-cm,557-0795,excel_col_G,909.00,909.00,1000.00,1000.00,SIN_CAMBIOS,
sofa-terraza-3-plazas-estilo-contemporaneo-188115-cm,557-0796,excel_col_G,1199.00,1199.00,1300.00,1300.00,SIN_CAMBIOS,
set-jardin-2-plazas-moderno-sofa-2-plazas-2-sillones-mesa-3,557-0798,excel_col_G,2355.00,2355.00,2600.00,2600.00,SIN_CAMBIOS,
set-jardin-3-plazas-contemporaneo-sofa-3-plazas-2-sillones-mesa-4,557-0799,excel_col_G,2755.00,2755.00,3000.00,3000.00,SIN_CAMBIOS,
sillon-exterior-estilo-versatil-6470-cm,557-010146,excel_col_G,589.00,589.00,650.00,650.00,SIN_CAMBIOS,
sofa-terraza-2-plazas-estilo-elegante-13170-cm,557-010148,excel_col_G,845.00,845.00,900.00,900.00,SIN_CAMBIOS,
sofa-terraza-3-plazas-estilo-moderno-18570-cm,557-010147,psy(shopify),785.12,789.00,950.00,850.00,OK,
mesa-de-centro-exterior-hpl-90-cm-altura-40-cm,557-010153,excel_col_G,332.95,332.95,349.95,349.95,SIN_CAMBIOS,
mesa-de-centro-exterior-hpl-120-cm-altura-40-cm-2,557-010154,excel_col_G,441.95,441.95,485.95,486.95,OK,
set-jardin-2-plazas-moderno-sofa-2-plazas-2-sillones-mesa-4,557-010149,excel_col_G,2349.00,2349.00,2600.00,2600.00,SIN_CAMBIOS,
set-jardin-3-plazas-contemporaneo-sofa-3-plazas-2-sillones-mesa-5,557-010147,psy(shopify),2765.00,2765.00,3000.00,3000.00,SIN_CAMBIOS,
pergola-aluminio-para-jardin-300300250-cm,557-0919,excel_col_G,2045.00,2045.00,2200.00,2200.00,SIN_CAMBIOS,
sillon-exterior-estilo-urbano-6670-cm,557-01951,excel_col_G,449.90,449.90,499.95,494.95,OK,
sofa-terraza-2-plazas-estilo-contemporaneo-13370-cm,557-01952,excel_col_G,715.00,715.00,800.00,800.00,SIN_CAMBIOS,
sofa-terraza-3-plazas-estilo-moderno-18770-cm,557-01953,excel_col_G,1029.00,1029.00,1100.00,1100.00,SIN_CAMBIOS,
set-jardin-2-plazas-contemporaneo-sofa-2-plazas-2-sillones-mesa-3,557-01954,excel_col_G,1995.00,1995.00,2200.00,2200.00,SIN_CAMBIOS,
set-jardin-3-plazas-urbano-sofa-3-plazas-2-sillones-mesa,557-01955,excel_col_G,2405.00,2405.00,2600.00,2600.00,SIN_CAMBIOS,
set-rinconera-exterior-hpl-sofisticado-sofa-de-esquina-mesa-de-centro,557-010705,excel_col_G,2899.00,2899.00,3200.00,3200.00,SIN_CAMBIOS,
set-rinconera-exterior-hpl-elegante-sofa-de-esquina-mesa-de-centro,557-010026,excel_col_G,3795.00,3795.00,4200.00,4200.00,SIN_CAMBIOS,
set-rinconera-exterior-hpl-moderno-sofa-de-esquina-mesa-de-centro,557-010123,excel_col_G,4225.00,4225.00,4600.00,4600.00,SIN_CAMBIOS,
set-rinconera-exterior-contemporaneo-sofa-de-esquina-mesa-de-centro,557-1164,excel_col_G,2579.00,2579.00,2800.00,2800.00,SIN_CAMBIOS,
set-rinconera-exterior-sofisticado-sofa-de-esquina-mesa-de-centro,557-010048,excel_col_G,3819.00,3819.00,4200.00,4200.00,SIN_CAMBIOS,
mesa-comedor-exterior-hpl-13590-cm,557-010177,excel_col_G,660.00,660.00,700.00,700.00,SIN_CAMBIOS,
mesa-comedor-exterior-hpl-13590-cm,123-0017,excel_col_G,720.00,720.00,800.00,800.00,SIN_CAMBIOS,
silla-exterior-estilo-estilizado,123-0002,excel_col_G,199.95,199.95,219.95,219.95,SIN_CAMBIOS,
silla-exterior-estilo-contemporaneo,123-0001,excel_col_G,175.95,175.95,193.95,193.95,SIN_CAMBIOS,
mesa-comedor-exterior-hpl-10090-cm,123-0013,excel_col_G,585.00,585.00,650.00,650.00,SIN_CAMBIOS,
mesa-comedor-exterior-hpl-15090-cm,557-011019,excel_col_G,669.00,669.00,725.00,725.00,SIN_CAMBIOS,
sillon-exterior-estilo-versatil-58100-cm,123-0011,excel_col_G,114.95,114.95,126.95,126.95,SIN_CAMBIOS,
base-de-parasol-25-kg,921-0026,excel_col_G,78.95,78.95,86.95,86.95,SIN_CAMBIOS,
set-losas-cemento-para-base-de-parasol,921-0009,excel_col_G,217.95,217.95,239.95,239.95,SIN_CAMBIOS,
balancin-jardin-exterior-148194-cm,557-010143,excel_col_G,1805.00,1805.00,2000.00,2000.00,SIN_CAMBIOS,
banco-jardin-con-mesa-integrada-220-cm,557-010947,excel_col_G,2899.00,2899.00,3200.00,3200.00,SIN_CAMBIOS,
banco-de-exterior-150-cm,557-010016,excel_col_G,423.95,423.95,449.95,449.95,SIN_CAMBIOS,
banco-de-exterior-108-cm,557-011350,excel_col_G,381.95,381.95,399.95,420.95,OK,
balliu-tumbona-de-exterior-resina-923110d9,SV-EVAPRO-T-BLANCO,psy(shopify),219.66,219.95,241.95,241.95,OK,
balliu-tumbona-de-exterior-resina-923110d9,SV-EVAPRO-T-ARENA,psy(shopify),242.13,242.95,241.95,267.95,OK,
balliu-tumbona-de-exterior-resina-923110d9,SV-EVAPRO-T-BRONCE,psy(shopify),242.13,242.95,241.95,267.95,OK,
balliu-tumbona-de-exterior-resina-923110d9,SV-EVAPRO-T-GRIS-OSC,psy(shopify),242.13,242.95,241.95,267.95,OK,
balliu-tumbona-de-exterior-resina-923110d9,SV-EVAPRO-T-TORTOLA,psy(shopify),242.13,242.95,241.95,267.95,OK,
balliu-tumbona-de-exterior-resina-b19af1ea,SV-EVAPRO-BLANCO-AZUL,psy(shopify),228.44,228.95,239.95,249.95,OK,
balliu-tumbona-de-exterior-resina-b19af1ea,SV-EVAPRO-BLANCO-AMARILLO,psy(shopify),228.44,228.95,239.95,249.95,OK,
balliu-tumbona-de-exterior-resina-b19af1ea,SV-EVAPRO-BLANCO-NARANJA,psy(shopify),228.44,228.95,239.95,249.95,OK,
balliu-tumbona-de-exterior-resina-b19af1ea,SV-EVAPRO-BLANCO-VERDE-CLARO,psy(shopify),228.44,228.95,239.95,249.95,OK,
balliu-tumbona-de-exterior-resina-b19af1ea,SV-EVAPRO-BLANCO-BLANCO,psy(shopify),228.44,228.95,239.95,249.95,OK,
balliu-tumbona-de-exterior-resina-b19af1ea,SV-EVAPRO-BLANCO-NATURAL,psy(shopify),228.44,228.95,239.95,249.95,OK,
balliu-tumbona-de-exterior-resina-b19af1ea,SV-EVAPRO-BLANCO-CAPUCHINO,psy(shopify),228.44,228.95,239.95,249.95,OK,
balliu-tumbona-de-exterior-resina-b19af1ea,SV-EVAPRO-BLANCO-CAQUI,psy(shopify),228.44,228.95,239.95,249.95,OK,
balliu-tumbona-de-exterior-resina-b19af1ea,SV-EVAPRO-BLANCO-MARRON-OSC,psy(shopify),228.44,228.95,239.95,249.95,OK,
balliu-tumbona-de-exterior-resina-b19af1ea,SV-EVAPRO-BLANCO-ARENA,psy(shopify),228.44,228.95,239.95,249.95,OK,
balliu-tumbona-de-exterior-resina-b19af1ea,SV-EVAPRO-BLANCO-VERDE-OSC,psy(shopify),228.44,228.95,239.95,249.95,OK,
balliu-tumbona-de-exterior-resina-b19af1ea,SV-EVAPRO-BLANCO-AZUL-CEL,psy(shopify),228.44,228.95,239.95,249.95,OK,
balliu-tumbona-de-exterior-resina-b19af1ea,SV-EVAPRO-BLANCO-CENIZA,psy(shopify),228.44,228.95,239.95,249.95,OK,
