action,handle,title,vendor,preview_url,status,notes
hevea-skip,sofa-terraza-3-plazas-estilo-elegante-22069-cm,Sofá terraza 3 plazas · estilo elegante | 220×69 cm,Hevea,https://mueblesexterior.myshopify.com/products/sofa-terraza-3-plazas-estilo-elegante-22069-cm,ok,Already Hevea-tagged
hevea-skip,reposapies-exterior-504540-cm,Reposapiés exterior · 50×45×40 cm,Hevea,https://mueblesexterior.myshopify.com/products/reposapies-exterior-504540-cm,ok,Already Hevea-tagged
hevea-skip,sillon-exterior-estilo-elegante-6578-cm,Sillón exterior · estilo elegante | 65×78 cm,Hevea,https://mueblesexterior.myshopify.com/products/sillon-exterior-estilo-elegante-6578-cm,ok,Already Hevea-tagged
hevea-skip,sofa-terraza-2-plazas-estilo-contemporaneo-12078-cm,Sofá terraza 2 plazas · estilo contemporáneo | 120×78 cm,Hevea,https://mueblesexterior.myshopify.com/products/sofa-terraza-2-plazas-estilo-contemporaneo-12078-cm,ok,Already Hevea-tagged
hevea-skip,sofa-terraza-3-plazas-estilo-sofisticado-17578-cm,Sofá terraza 3 plazas · estilo sofisticado | 175×78 cm,Hevea,https://mueblesexterior.myshopify.com/products/sofa-terraza-3-plazas-estilo-sofisticado-17578-cm,ok,Already Hevea-tagged
hevea-skip,mesa-de-centro-exterior-90-cm-altura-41-cm,Mesa de centro exterior 90 cm · altura 41 cm,Hevea,https://mueblesexterior.myshopify.com/products/mesa-de-centro-exterior-90-cm-altura-41-cm,ok,Already Hevea-tagged
hevea-skip,mesa-de-centro-exterior-120-cm-altura-41-cm,Mesa de centro exterior 120 cm · altura 41 cm,Hevea,https://mueblesexterior.myshopify.com/products/mesa-de-centro-exterior-120-cm-altura-41-cm,ok,Already Hevea-tagged
hevea-skip,set-jardin-2-plazas-moderno-sofa-2-plazas-2-sillones-mesa-2,Set jardín 2 plazas · moderno | sofá 2 plazas + 2 sillones + mesa 2,Hevea,https://mueblesexterior.myshopify.com/products/set-jardin-2-plazas-moderno-sofa-2-plazas-2-sillones-mesa-2,ok,Already Hevea-tagged
hevea-skip,set-jardin-3-plazas-elegante-sofa-3-plazas-2-sillones-mesa,Set jardín 3 plazas · elegante | sofá 3 plazas + 2 sillones + mesa,Hevea,https://mueblesexterior.myshopify.com/products/set-jardin-3-plazas-elegante-sofa-3-plazas-2-sillones-mesa,ok,Already Hevea-tagged
hevea-skip,sillon-exterior-estilo-versatil-76100-cm,Sillón exterior · estilo versátil | 76×100 cm,Hevea,https://mueblesexterior.myshopify.com/products/sillon-exterior-estilo-versatil-76100-cm,ok,Already Hevea-tagged
