handle,title,status,type,vendor,desc_words,seo_desc,image,variants,variants_sin_gtin
reposapies-exterior-734640-cm,Reposapiés exterior · 73×46×40 cm,ACTIVE,Reposapiés,Hevea,37,sí,sí,1,1
set-jardin-2-plazas-elegante-sofa-2-plazas-2-sillones-mesa-2,Set jardín 2 plazas · elegante | sofá 2 plazas + 2 sillones + mesa 2,ACTIVE,Conjunto sofá,Hevea,37,sí,sí,1,1
sofa-terraza-2-plazas-estilo-contemporaneo-16269-cm,Sofá terraza 2 plazas · estilo contemporáneo | 162×69 cm,ACTIVE,Sofá,Hevea,37,sí,sí,1,1
sofa-terraza-3-plazas-estilo-contemporaneo-215104-cm,Sofá terraza 3 plazas · estilo contemporáneo | 215×104 cm,ACTIVE,Sofá,Hevea,37,sí,sí,1,1
reposapies-exterior-855043-cm-2,Reposapiés exterior · 85×50×43 cm,ACTIVE,Reposapiés,Hevea,37,sí,sí,1,1
sofa-terraza-2-plazas-estilo-elegante-13170-cm,Sofá terraza 2 plazas · estilo elegante | 131×70 cm,ACTIVE,Sofá,Hevea,37,sí,sí,1,1
mesa-de-centro-exterior-hpl-120-cm-altura-40-cm-2,Mesa de centro exterior HPL 120 cm · altura 40 cm 2,ACTIVE,Mesa centro,Hevea,37,sí,sí,1,1
sofa-terraza-2-plazas-estilo-estilizado-14383-cm,Sofá terraza 2 plazas · estilo estilizado | 143×83 cm,ACTIVE,Sofá,Hevea,38,sí,sí,1,1
sofa-terraza-2-plazas-estilo-contemporaneo-15082-cm,Sofá terraza 2 plazas · estilo contemporáneo | 150×82 cm,ACTIVE,Sofá,Hevea,38,sí,sí,1,1
mesa-de-centro-exterior-125-cm-altura-38-cm,Mesa de centro exterior 125 cm · altura 38 cm,ACTIVE,Mesa centro,Hevea,38,sí,sí,1,1
mesa-de-centro-exterior-120-cm-altura-41-cm,Mesa de centro exterior 120 cm · altura 41 cm,ACTIVE,Mesa centro,Hevea,38,sí,sí,1,1
sofa-terraza-2-plazas-estilo-contemporaneo-145100-cm,Sofá terraza 2 plazas · estilo contemporáneo | 145×100 cm,ACTIVE,Sofá,Hevea,38,sí,sí,1,1
sofa-terraza-3-plazas-estilo-sofisticado-212100-cm,Sofá terraza 3 plazas · estilo sofisticado | 212×100 cm,ACTIVE,Sofá,Hevea,38,sí,sí,1,1
sofa-terraza-2-plazas-estilo-contemporaneo-164104-cm,Sofá terraza 2 plazas · estilo contemporáneo | 164×104 cm,ACTIVE,Sofá,Hevea,38,sí,sí,1,1
set-jardin-2-plazas-contemporaneo-sofa-2-plazas-2-sillones-mesa-2,Set jardín 2 plazas · contemporáneo | sofá 2 plazas + 2 sillones + mesa 2,ACTIVE,Conjunto sofá,Hevea,38,sí,sí,1,1
pergola-aluminio-para-jardin-300300250-cm,Pérgola aluminio para jardín · 300×300×250 cm,ACTIVE,Pérgola,Hevea,38,sí,sí,1,1
sofa-terraza-3-plazas-estilo-elegante-22069-cm,Sofá terraza 3 plazas · estilo elegante | 220×69 cm,ACTIVE,Sofá,Hevea,39,sí,sí,1,1
sillon-exterior-estilo-versatil-76100-cm,Sillón exterior · estilo versátil | 76×100 cm,ACTIVE,Sillón,Hevea,39,sí,sí,1,1
sofa-terraza-3-plazas-estilo-contemporaneo-19685-cm,Sofá terraza 3 plazas · estilo contemporáneo | 196×85 cm,ACTIVE,Sofá,Hevea,39,sí,sí,1,1
sofa-terraza-2-plazas-estilo-moderno-128115-cm,Sofá terraza 2 plazas · estilo moderno | 128×115 cm,ACTIVE,Sofá,Hevea,39,sí,sí,1,1
sofa-terraza-3-plazas-estilo-contemporaneo-188115-cm,Sofá terraza 3 plazas · estilo contemporáneo | 188×115 cm,ACTIVE,Sofá,Hevea,39,sí,sí,1,1
silla-exterior-estilo-contemporaneo,Silla exterior · estilo contemporáneo,ACTIVE,Silla,Hevea,39,sí,sí,1,1
set-jardin-2-plazas-elegante-sofa-2-plazas-2-sillones-mesa,Set jardín 2 plazas · elegante | sofá 2 plazas + 2 sillones + mesa,ACTIVE,Conjunto sofá,Hevea,40,sí,sí,1,1
sillon-exterior-estilo-versatil-7783-cm,Sillón exterior · estilo versátil | 77×83 cm,ACTIVE,Sillón,Hevea,40,sí,sí,1,1
