handle,sku,titulo,cat,price,cost_net,fuente,gross_pct,net_pct,net_eur,carrier,fee,esc,alerta,notas,compare_ok
set-jardin-2-plazas-elegante-sofa-2-plazas-2-sillones-mesa-5,557-0793,Set jardín 2 plazas · elegante | sofá 2 plazas + 2 sill,l,4175.0,2174.0,shopify,37.0,34.4,1188.44,0.0,87.98,envio_gratis,OK,,OK
set-jardin-3-plazas-contemporaneo-sofa-3-plazas-2-sillones-mesa-2,557-010483,Set jardín 3 plazas · contemporáneo | sofá 3 plazas + 2,l,4709.0,2451.0,shopify,37.0,34.5,1341.55,0.0,99.19,envio_gratis,OK,,OK
sillon-exterior-bicolor-estilo-bicolor-7376-cm,558-0051,Sillón exterior bicolor · estilo bicolor | 73×76 cm,m,945.0,492.0,shopify,37.0,28.0,218.85,50.0,20.15,envio_gratis,OK,,OK
sofa-terraza-bicolor-2-plazas-estilo-bicolor-14076-cm,558-0070,Sofá terraza bicolor 2 plazas · estilo bicolor | 140×76,l,1365.0,709.0,shopify,37.2,34.6,390.13,0.0,28.97,envio_gratis,OK,,OK
sofa-terraza-bicolor-3-plazas-estilo-bicolor-20076-cm,558-0052,Sofá terraza bicolor 3 plazas · estilo bicolor | 200×76,l,1685.0,876.0,shopify,37.1,34.5,480.88,0.0,35.69,envio_gratis,OK,,OK
mesa-de-centro-exterior-hpl-120-cm-altura-40-cm,558-0033,Mesa de centro exterior HPL 120 cm · altura 40 cm,m,715.0,372.0,shopify,37.0,26.0,153.59,50.0,15.32,envio_gratis,OK,,OK
mesa-de-centro-exterior-hpl-135-cm-altura-40-cm,558-0039,Mesa de centro exterior HPL 135 cm · altura 40 cm,m,835.0,435.0,shopify,37.0,27.1,187.25,50.0,17.84,envio_gratis,OK,,OK
reposapies-exterior-bicolor-704544-cm,558-0049,Reposapiés exterior bicolor · 70×45×44 cm,m,509.0,265.0,shopify,37.0,22.5,94.67,50.0,10.99,envio_gratis,OK,,OK
set-jardin-bicolor-2-plazas-bicolor-sofa-2-plazas-2-sillones-mesa,558-0066,Set jardín bicolor 2 plazas · bicolor | sofá 2 plazas +,l,3965.0,2064.0,shopify,37.0,34.5,1129.29,0.0,83.56,envio_gratis,OK,,OK
set-jardin-bicolor-3-plazas-bicolor-sofa-3-plazas-2-sillones-mesa,558-0050,Set jardín bicolor 3 plazas · bicolor | sofá 3 plazas +,l,4405.0,2294.0,shopify,37.0,34.4,1253.69,0.0,92.81,envio_gratis,OK,,OK
sillon-exterior-estilo-versatil-7685-cm,557-010716,Sillón exterior · estilo versátil | 76×85 cm,m,645.0,334.0,shopify,37.3,25.4,135.21,50.0,13.85,envio_gratis,OK,,OK
sofa-terraza-2-plazas-estilo-contemporaneo-13785-cm,557-010717,Sofá terraza 2 plazas · estilo contemporáneo | 137×85 c,l,909.0,473.0,shopify,37.0,27.8,208.85,50.0,19.39,envio_gratis,OK,,OK
sofa-terraza-3-plazas-estilo-contemporaneo-19685-cm,557-010718,Sofá terraza 3 plazas · estilo contemporáneo | 196×85 c,l,1175.0,612.0,shopify,37.0,34.4,334.1,0.0,24.98,envio_gratis,OK,,OK
