SKU;Producto;Precio neto exworks sin iva;Precio Venta;Margen €;Margen%;Coste de Envio;;PVP Recomendado;Descripción;Ancho (cm);Fondo (cm);Alto (cm);Imagen;Proveedor;Match %;Color Match;Detalle Match
BALLIU_ETNA_TUMBONA_TELA_BALLIU_36870D09;Tumbona de exterior aluminio;229,08 €;469,61 €;130,46 €;56,95 %;;;469,61 €;"La tumbona Etna eleva cualquier espacio exterior con su diseño exclusivo y minimalista. Su estructura de aluminio endurecido, reforzada con nerviado interno y tornillería en acero inoxidable, la convierte en la más resistente de Balliu.
Con respaldo regulable en cinco posiciones, su tejido es sustituible mediante guías. Cuenta con ruedas opcionales en color gris para agregar funcionalidad. Con un perﬁl reﬁnado, es ideal para quienes buscan un diseño sencillo pero soﬁsticado.
Aluminio texturizado
Tejido Balliu";;;;;Balliu;79;Amarillo;Solo catalogo
BALLIU_ETNA_TUMBONA_TELA_BALLIU_CON__AFBA154C;Tumbona de exterior con ruedas aluminio;252,74 €;518,12 €;143,93 €;56,95 %;;;518,12 €;"La tumbona Etna eleva cualquier espacio exterior con su diseño exclusivo y minimalista. Su estructura de aluminio endurecido, reforzada con nerviado interno y tornillería en acero inoxidable, la convierte en la más resistente de Balliu.
Con respaldo regulable en cinco posiciones, su tejido es sustituible mediante guías. Cuenta con ruedas opcionales en color gris para agregar funcionalidad. Con un perﬁl reﬁnado, es ideal para quienes buscan un diseño sencillo pero soﬁsticado.
Aluminio texturizado
Tejido Balliu";;;;;Balliu;79;Amarillo;Solo catalogo
BALLIU_ETNA_ALTA_TUMBONA_AL_TELA_BALLIU_D08586C1;Tumbona de exterior aluminio;248,76 €;509,96 €;141,67 €;56,95 %;;;509,96 €;"Diseñada con una altura optimizada para facilitar el acceso, la Etna Alta es ideal para quienes buscan comodidad y funcionalidad. Con una estructura de aluminio endurecido y tornillería en acero inoxidable, garantiza una durabilidad excepcional.
Su respaldo regulable en cinco posiciones y tejido sustituible ofrecen versatilidad y comodidad. Disponible con ruedas opcionales, cuenta con un sistema anti-atrapamiento de dedos con refuerzo doble para mayor seguridad.
Aluminio texturizado
Tejido Balliu";;;;;Balliu;79;Amarillo;Solo catalogo
BALLIU_ETNA_ALTA_TUMBONA_AL_TELA_BALLIU_CON__9E0F219D;Tumbona de exterior con ruedas aluminio;266,56 €;546,45 €;151,81 €;56,95 %;;;546,45 €;"Diseñada con una altura optimizada para facilitar el acceso, la Etna Alta es ideal para quienes buscan comodidad y funcionalidad. Con una estructura de aluminio endurecido y tornillería en acero inoxidable, garantiza una durabilidad excepcional.
Su respaldo regulable en cinco posiciones y tejido sustituible ofrecen versatilidad y comodidad. Disponible con ruedas opcionales, cuenta con un sistema anti-atrapamiento de dedos con refuerzo doble para mayor seguridad.
Aluminio texturizado
Tejido Balliu";;;;;Balliu;79;Amarillo;Solo catalogo
BALLIU_IRIS_TUMBONA_CON_RUEDAS_9064B7B9;Tumbona de exterior con ruedas aluminio | 58 cm;337,77 €;692,43 €;192,36 €;56,95 %;;;692,43 €;"La Iris es una tumbona que combina resistencia y diseño elegante. Su estructura de aluminio endurecido, junto con tornillería de acero inoxidable y perﬁl con nervios interiores, asegura una alta durabilidad y resistencia.
El respaldo regulable en cinco posiciones cuenta con un sistema reforzado para evitar el atrapamiento de dedos. Cuenta con ruedas integradas y tejido sustituible mediante guías. Con un diseño ﬁno y minimalista se convierte en la opción perfecta para quienes buscan una tumbona funcional y elegante.
Aluminio texturizado
Tejido Balliu
Dimensiones: Largo: 203 cm | Ancho: 58 cm | Alto: 96 cm | Peso: N/D kg";58;;96;https://www.balliuexport.com/wp-content/uploads/2024/01/iris-blanco-blanco-07-00-800x614-1.jpg;Balliu;100;Verde;Catalogo + web
BALLIU_MARINA_TUMBONA_TELA_BALLIU_F7AB4DA8;Tumbona de exterior aluminio | 68 cm;173,92 €;356,54 €;99,05 €;56,95 %;;;356,54 €;"La tumbona Marina se caracteriza por su diseño lineal y elegante, ideal para quienes buscan un mobiliario funcional con un diseño limpio y atemporal.
Su estructura de aluminio endurecido y tornillería en acero inoxidable aseguran una gran resistencia y durabilidad, mientras que su ligereza facilita su movimiento. El respaldo es regulable en cinco posiciones y cuenta con tejido sustituible por cordón.
Tejido Balliu
Aluminio texturizado
Dimensiones: Largo: 205 cm | Ancho: 68 cm | Alto: 36 cm | Peso: 9.4 kg";68;;36;https://www.balliuexport.com/wp-content/uploads/2026/02/Balliu_Marina_blanco-ceniza_sin-fondo2.jpg;Balliu;100;Verde;Catalogo + web
BALLIU_ALBA_TUMBONA_TELA_BALLIU_20620134;Tumbona de exterior;226,62 €;464,57 €;129,06 €;56,95 %;;;464,57 €;Alba Tumbona;;;;;Balliu;0;Rojo;Sin match fiable
BALLIU_CANNES_MINI_TUMBONA_MINI_TUMBONA_CAN_5A6F53EB;Mini tumbona de exterior aluminio | 62 cm;140,89 €;288,82 €;80,24 €;56,95 %;;;288,82 €;"La tumbona Cannes es la opción perfecta para quienes buscan un diseño práctico y moderno. Cuenta con una estructura de aluminio endurecido y tornillería en acero inoxidable para asegurar su durabilidad.
Con respaldo regulable en cuatro posiciones, el tejido es sustituible asegurando su versatilidad. Su diseño plegable facilita su almacenamiento y transporte. Además, ofrece un cojín cosido que añade un extra de confort.
Tejido Balliu
Aluminio texturizado
Dimensiones: Largo: 103 cm | Ancho: 62 cm | Alto: 105 cm | Peso: 4,8 kg";62;;105;https://www.balliuexport.com/wp-content/uploads/2023/12/mini-tumbona-cannes-blanco-3800-001.jpg;Balliu;100;Verde;Catalogo + web
BALLIU_BRISTOL_MINI_TUMBONA_MINI_TUMBONA_BRI_FA211C70;Mini tumbona de exterior madera | 59 cm;139,67 €;286,32 €;79,54 €;56,95 %;;;286,32 €;"La tumbona Bristol es la opción perfecta para quienes buscan un diseño simple y funcional. Fabricada en madera Merpauh de gran durabilidad y con tornillería en acero inoxidable, esta tumbona es ideal para disfrutar en cualquier lugar gracias a su diseño plegable.
Con cojín incluido, respaldo regulable en cuatro posiciones y tejido sustituible, ofrece una gran versatilidad. Bristol cuenta con un diseño clásico y atemporal.
Madera
Tejido Balliu
Dimensiones: Largo: 103 cm | Ancho: 59 cm | Alto: 105 cm | Peso: 6,1 kg";59;;105;https://www.balliuexport.com/wp-content/uploads/2020/01/bristol-mini-tumbona-madera-0300-800x614-3.jpg;Balliu;100;Verde;Catalogo + web
BALLIU_MARINA_MINI_TUMBONA_MINI_TUMBONA_MAR_98AB84CE;Mini tumbona de exterior aluminio | 57 cm;114,60 €;234,93 €;65,26 €;56,95 %;;;234,93 €;"La tumbona Marina ofrece un diseño sencillo con una estructura más perpendicular. Su estructura de aluminio endurecido y tornillería en acero inoxidable aseguran durabilidad y resistencia.
Con reposabrazos ﬁjos para mayor confort y tejido sustituible que facilita su mantenimiento, la Marina cuenta con patas anchas que aportan mayor estabilidad y soporte.
Tejido Balliu
Aluminio texturizado
Dimensiones: Largo: 77 cm | Ancho: 57 cm | Alto: 94 cm | Peso: 4,8 kg";57;;94;https://www.balliuexport.com/wp-content/uploads/2023/12/marina-s-800x614-2.jpg;Balliu;100;Verde;Catalogo + web
BALLIU_AURA_CAMA_BALINESA_TELA_NAUTICA_2BD3A7A4;Cama balinesa exterior aluminio · estilo sofisticado | 160 cm;1.073,61 €;2.200,90 €;611,42 €;56,95 %;;;2.200,90 €;"La cama balinesa Aura destaca por su diseño limpio y geométrico, con una estructura cuadrada de aluminio y líneas rectas que aportan un estilo moderno y soﬁsticado.
Cuenta con un respaldo ajustable en cinco posiciones, permitiendo una experiencia de descanso personalizada. Con un colchón de espuma cubierto de tejido náutico, su diseño sin cubierta es una opción ligera perfecta para espacios donde la simplicidad y el confort sean prioridad.
Aluminio mate
Tejido náutico
Dimensiones: Largo: 190 cm | Ancho: 160 cm | Alto: 32 cm | Peso: 45 kg";160;;32;https://www.balliuexport.com/wp-content/uploads/2023/12/aura-cama-balinesa-blanco-800x614-2.jpg;Balliu;100;Verde;Catalogo + web
BALLIU_ALMA_CAMA_BALINESA_TELA_NAUTICA_DCAF71D8;Cama balinesa exterior aluminio · estilo minimalista | 198 cm;1.510,81 €;3.097,16 €;860,41 €;56,95 %;;;3.097,16 €;"La cama balinesa Alma cuenta con un diseño minimalista que aporta un aire soﬁsticado a cualquier espacio exterior. Su estructura de aluminio de líneas rectas y depuradas crea una estética moderna y atemporal, ideal para ambientes exclusivos.
Pensada para el máximo confort, cuenta con cubierta integrada y dos respaldos independientes ajustables en cinco posiciones. Su colchón de espuma está disponible con cubierta de tejido náutico o oleﬁna. Disponible en dos combinaciones. Cojines no incluídos.
Conjunto blanco
Conjunto gris
Dimensiones: Largo: 205 cm | Ancho: 198 cm | Alto: 200 cm | Peso: 77 kg";198;;200;https://www.balliuexport.com/wp-content/uploads/2021/02/alma-cama-balinesa-blanco-800x614-2.jpg;Balliu;100;Verde;Catalogo + web
BALLIU_ETNA_SILLA_TABURETE_ETNA_AL_A66B4A0A;Taburete exterior aluminio · estilo elegante | 56 cm;100,25 €;205,51 €;57,09 €;56,95 %;;;205,51 €;"La silla Etna es un auténtico icono de Balliu, reconocida por su diseño clásico y versátil, que se adapta a cualquier espacio exterior. Su estructura de aluminio endurecido con tornillería en acero inoxidable garantiza una gran resistencia y durabilidad, manteniendo, a la vez, un peso ligero.
Con un estilo elegante y funcional, su diseño de líneas sutilmente curvadas aporta un extra de confort. Incluye reposabrazos integrados para una mejor experiencia y tejido sustituible.
Tejido Balliu
Aluminio texturizado
Dimensiones: Largo: 53 cm | Ancho: 56 cm | Alto: 100 cm | Peso: N/D kg";56;;100;https://www.balliuexport.com/wp-content/uploads/2024/11/silla-etna-800x614-2.jpg;Balliu;100;Verde;Catalogo + web
BALLIU_ETNA_SILLA_CON_BRAZOS_5C88BD77;Silla exterior con brazos aluminio · estilo elegante | 56 cm;97,71 €;200,31 €;55,64 €;56,95 %;;;200,31 €;"La silla Etna es un auténtico icono de Balliu, reconocida por su diseño clásico y versátil, que se adapta a cualquier espacio exterior. Su estructura de aluminio endurecido con tornillería en acero inoxidable garantiza una gran resistencia y durabilidad, manteniendo, a la vez, un peso ligero.
Con un estilo elegante y funcional, su diseño de líneas sutilmente curvadas aporta un extra de confort. Incluye reposabrazos integrados para una mejor experiencia y tejido sustituible.
Tejido Balliu
Aluminio texturizado
Dimensiones: Largo: 53 cm | Ancho: 56 cm | Alto: 100 cm | Peso: N/D kg";56;;100;https://www.balliuexport.com/wp-content/uploads/2024/11/silla-etna-800x614-2.jpg;Balliu;100;Verde;Catalogo + web
BALLIU_ETNA_SILLA_ALTA_CON_BRAZOS_EAF4A34A;Silla exterior con brazos aluminio · estilo elegante | 56 cm;102,17 €;209,45 €;58,19 €;56,95 %;;;209,45 €;"La silla Etna es un auténtico icono de Balliu, reconocida por su diseño clásico y versátil, que se adapta a cualquier espacio exterior. Su estructura de aluminio endurecido con tornillería en acero inoxidable garantiza una gran resistencia y durabilidad, manteniendo, a la vez, un peso ligero.
Con un estilo elegante y funcional, su diseño de líneas sutilmente curvadas aporta un extra de confort. Incluye reposabrazos integrados para una mejor experiencia y tejido sustituible.
Tejido Balliu
Aluminio texturizado
Dimensiones: Largo: 53 cm | Ancho: 56 cm | Alto: 100 cm | Peso: N/D kg";56;;100;https://www.balliuexport.com/wp-content/uploads/2024/11/silla-etna-800x614-2.jpg;Balliu;100;Verde;Catalogo + web
